Year,Years_of_Schooling,Literacy_Rate_15_24,Primary_Completion_Rate,Lower_Secondary_Completion,Upper_Secondary_Completion
2013,1665.0,,963.0,1233.0,998.0
2013,93.0,,60.0,68.0,57.0
2013,1060.0,,472.0,679.0,623.0
2013,99.0,,52.0,77.0,61.0
2013,120.0,,93.0,89.0,65.0
2013,146.0,,80.0,115.0,82.0
2013,109.0,,73.0,76.0,69.0
2013,121.0,,68.0,93.0,70.0
2013,86.0,,49.0,68.0,52.0
2013,168.0,,98.0,158.0,95.0
2013,89.0,,56.0,56.0,48.0
2013,106.0,,79.0,89.0,77.0
2013,71.0,,50.0,62.0,48.0
2013,572.0,,306.0,423.0,345.0
2013,94.0,,63.0,65.0,50.0
2013,113.0,,54.0,67.0,72.0
2013,165.0,,59.0,103.0,86.0
2013,4019.0,,2613.0,3283.0,2376.0
2013,2116.0,,998.0,1364.0,1281.0
2013,1066.0,,485.0,652.0,645.0
2013,716.0,,442.0,556.0,421.0
2013,828.0,,460.0,589.0,490.0
2013,1000.0,,504.0,641.0,576.0
2013,1031.0,,428.0,616.0,611.0
2013,681.0,,386.0,533.0,418.0
2013,713.0,,501.0,623.0,410.0
2013,837.0,,503.0,644.0,508.0
2013,74.0,,45.0,64.0,48.0
2013,905.0,,523.0,654.0,539.0
2013,54.0,,,39.0,33.0
2013,198.0,,134.0,169.0,107.0
2013,37.0,,,,
2013,476.0,,184.0,284.0,275.0
2013,33.0,,,,
2013,103.0,,53.0,67.0,65.0
2013,95.0,,47.0,53.0,59.0
2013,950.0,,464.0,638.0,574.0
2013,85.0,,49.0,56.0,46.0
2013,87.0,,63.0,48.0,48.0
2013,88.0,,46.0,79.0,48.0
2013,107.0,,85.0,106.0,73.0
2013,165.0,,113.0,123.0,98.0
2013,192.0,,114.0,148.0,105.0
2013,163.0,,108.0,124.0,86.0
2013,374.0,,177.0,251.0,241.0
2013,159.0,,107.0,127.0,111.0
2013,137.0,,70.0,86.0,87.0
2013,292.0,,156.0,201.0,175.0
2013,113.0,,71.0,89.0,67.0
2013,126.0,,82.0,105.0,71.0
2013,90.0,,45.0,60.0,55.0
2013,1238.0,,763.0,1008.0,758.0
2013,1429.0,,943.0,1179.0,831.0
2013,1905.0,,1027.0,1295.0,1115.0
2013,1981.0,,892.0,1254.0,1185.0
2013,4132.0,,2211.0,2877.0,2438.0
2013,61.0,,41.0,55.0,43.0
2013,557.0,,377.0,475.0,340.0
2013,156.0,,91.0,137.0,86.0
2013,176.0,,108.0,147.0,104.0
2013,110.0,,56.0,81.0,59.0
2013,323.0,,182.0,239.0,200.0
2013,153.0,,105.0,102.0,98.0
2013,88.0,,50.0,72.0,55.0
2013,162.0,,80.0,122.0,92.0
2013,69.0,,41.0,65.0,45.0
2013,178.0,,104.0,136.0,108.0
2013,111.0,,82.0,100.0,78.0
2013,147.0,,35.0,53.0,71.0
2013,133.0,,56.0,99.0,86.0
2013,128.0,,77.0,87.0,71.0
2013,110.0,,66.0,82.0,54.0
2013,124.0,,69.0,74.0,74.0
2013,88.0,,54.0,63.0,46.0
2013,122.0,,75.0,83.0,77.0
2013,136.0,,81.0,107.0,75.0
2013,179.0,,92.0,110.0,106.0
2013,4086.0,,2377.0,3092.0,2449.0
2013,8218.0,,4588.0,5969.0,4887.0
2016,10483.0,,5933.0,7723.0,6213.0
2016,167.0,,78.0,83.0,91.0
2016,121.0,,71.0,95.0,76.0
2016,1170.0,,568.0,816.0,733.0
2016,145.0,,87.0,100.0,81.0
2016,211.0,,112.0,137.0,129.0
2016,134.0,,96.0,103.0,80.0
2016,166.0,,133.0,136.0,94.0
2016,5220.0,,3357.0,4186.0,3097.0
2016,212.0,,90.0,140.0,128.0
2016,122.0,,77.0,80.0,64.0
2016,124.0,,87.0,133.0,74.0
2016,164.0,,123.0,137.0,88.0
2016,180.0,,119.0,132.0,116.0
2016,719.0,,387.0,566.0,434.0
2016,131.0,,83.0,120.0,71.0
2016,249.0,,118.0,185.0,157.0
2016,245.0,,132.0,175.0,152.0
2016,191.0,,119.0,142.0,110.0
2016,2513.0,,1274.0,1736.0,1519.0
2016,74.0,,40.0,61.0,45.0
2016,752.0,,420.0,537.0,469.0
2016,936.0,,582.0,728.0,513.0
2016,1114.0,,616.0,792.0,658.0
2016,1299.0,,616.0,836.0,768.0
2016,1226.0,,599.0,853.0,739.0
2016,748.0,,456.0,653.0,462.0
2016,1043.0,,628.0,772.0,609.0
2016,1364.0,,628.0,893.0,780.0
2016,1113.0,,671.0,858.0,644.0
2016,1061.0,,643.0,792.0,646.0
2016,52.0,,51.0,60.0,33.0
2016,251.0,,175.0,216.0,151.0
2016,62.0,,,37.0,42.0
2016,704.0,,284.0,384.0,412.0
2016,49.0,,,33.0,
2016,159.0,,66.0,92.0,88.0
2016,1191.0,,702.0,902.0,705.0
2016,5327.0,,2833.0,3746.0,3147.0
2016,177.0,,103.0,141.0,103.0
2016,161.0,,89.0,109.0,82.0
2016,143.0,,105.0,120.0,92.0
2016,270.0,,178.0,198.0,173.0
2016,257.0,,140.0,193.0,152.0
2016,190.0,,122.0,142.0,124.0
2016,408.0,,180.0,308.0,275.0
2016,105.0,,64.0,72.0,61.0
2016,77.0,,43.0,64.0,38.0
2016,325.0,,168.0,226.0,201.0
2016,208.0,,107.0,154.0,116.0
2016,108.0,,78.0,87.0,66.0
2016,65.0,,40.0,50.0,39.0
2016,1500.0,,876.0,1190.0,931.0
2016,1979.0,,1210.0,1500.0,1122.0
2016,2227.0,,1287.0,1650.0,1302.0
2016,2490.0,,1318.0,1738.0,1473.0
2016,2287.0,,1242.0,1645.0,1385.0
2016,107.0,,65.0,95.0,64.0
2016,207.0,,106.0,155.0,108.0
2016,210.0,,127.0,164.0,130.0
2016,117.0,,66.0,102.0,74.0
2016,131.0,,94.0,98.0,65.0
2016,435.0,,254.0,337.0,259.0
2016,235.0,,125.0,168.0,147.0
2016,138.0,,90.0,107.0,81.0
2016,251.0,,128.0,168.0,134.0
2016,188.0,,133.0,166.0,103.0
2016,182.0,,127.0,138.0,104.0
2016,137.0,,102.0,100.0,75.0
2016,202.0,,41.0,76.0,90.0
2016,113.0,,60.0,76.0,57.0
2016,131.0,,74.0,106.0,77.0
2016,136.0,,84.0,90.0,82.0
2016,113.0,,65.0,72.0,78.0
2016,125.0,,69.0,81.0,73.0
2016,118.0,,95.0,105.0,66.0
2016,117.0,,72.0,78.0,68.0
2016,145.0,,59.0,97.0,78.0
2016,5156.0,,3100.0,3977.0,3066.0
2016,2287.0,,1242.0,1645.0,1385.0
2016,1114.0,,616.0,792.0,658.0
2016,122.0,,77.0,80.0,64.0
2016,124.0,,87.0,133.0,74.0
2016,164.0,,123.0,137.0,88.0
2016,180.0,,119.0,132.0,116.0
2016,719.0,,387.0,566.0,434.0
2016,131.0,,83.0,120.0,71.0
2016,249.0,,118.0,185.0,157.0
2016,191.0,,119.0,142.0,110.0
2016,177.0,,103.0,141.0,103.0
2016,207.0,,106.0,155.0,108.0
2016,245.0,,132.0,175.0,152.0
2016,161.0,,89.0,109.0,82.0
2016,435.0,,254.0,337.0,259.0
2016,235.0,,125.0,168.0,147.0
2016,138.0,,90.0,107.0,81.0
2016,251.0,,128.0,168.0,134.0
2016,188.0,,133.0,166.0,103.0
2016,182.0,,127.0,138.0,104.0
2016,202.0,,41.0,76.0,90.0
2016,145.0,,59.0,97.0,78.0
2016,113.0,,60.0,76.0,57.0
2016,131.0,,74.0,106.0,77.0
2016,131.0,,94.0,98.0,65.0
2016,136.0,,84.0,90.0,82.0
2016,212.0,,90.0,140.0,128.0
2016,134.0,,96.0,103.0,80.0
2016,752.0,,420.0,537.0,469.0
2016,1226.0,,599.0,853.0,739.0
2016,748.0,,456.0,653.0,462.0
2016,1043.0,,628.0,772.0,609.0
2016,1113.0,,671.0,858.0,644.0
2016,1191.0,,702.0,902.0,705.0
2016,1061.0,,643.0,792.0,646.0
2016,52.0,,51.0,60.0,33.0
2016,251.0,,175.0,216.0,151.0
2016,62.0,,,37.0,42.0
2016,166.0,,133.0,136.0,94.0
2016,704.0,,284.0,384.0,412.0
2016,159.0,,66.0,92.0,88.0
2016,74.0,,40.0,61.0,45.0
2016,1364.0,,628.0,893.0,780.0
2016,2513.0,,1274.0,1736.0,1519.0
2016,5220.0,,3357.0,4186.0,3097.0
2016,167.0,,78.0,83.0,91.0
2016,121.0,,71.0,95.0,76.0
2016,1170.0,,568.0,816.0,733.0
2016,145.0,,87.0,100.0,81.0
2016,211.0,,112.0,137.0,129.0
2016,49.0,,,33.0,
2016,113.0,,65.0,72.0,78.0
2016,125.0,,69.0,81.0,73.0
2016,118.0,,95.0,105.0,66.0
2016,936.0,,582.0,728.0,513.0
2016,2490.0,,1318.0,1738.0,1473.0
2016,2227.0,,1287.0,1650.0,1302.0
2016,1979.0,,1210.0,1500.0,1122.0
2016,1500.0,,876.0,1190.0,931.0
2016,65.0,,40.0,50.0,39.0
2016,108.0,,78.0,87.0,66.0
2016,107.0,,65.0,95.0,64.0
2016,208.0,,107.0,154.0,116.0
2016,77.0,,43.0,64.0,38.0
2016,1299.0,,616.0,836.0,768.0
2016,408.0,,180.0,308.0,275.0
2016,190.0,,122.0,142.0,124.0
2016,257.0,,140.0,193.0,152.0
2016,270.0,,178.0,198.0,173.0
2016,143.0,,105.0,120.0,92.0
2016,325.0,,168.0,226.0,201.0
2016,210.0,,127.0,164.0,130.0
2016,137.0,,102.0,100.0,75.0
2016,117.0,,66.0,102.0,74.0
2016,105.0,,64.0,72.0,61.0
2016,117.0,,72.0,78.0,68.0
2017,334.0,,173.0,288.0,208.0
2017,97.0,,64.0,65.0,59.0
2017,42.0,,,44.0,30.0
2017,79.0,,47.0,71.0,45.0
2017,97.0,,54.0,72.0,59.0
2017,93.0,,57.0,70.0,48.0
2017,51.0,,47.0,45.0,33.0
2017,67.0,,33.0,50.0,40.0
2017,99.0,,42.0,52.0,51.0
2017,61.0,,44.0,57.0,40.0
2017,97.0,,54.0,77.0,50.0
2017,82.0,,52.0,81.0,56.0
2017,60.0,,33.0,47.0,37.0
2017,121.0,,56.0,95.0,75.0
2017,42.0,,,32.0,31.0
2017,121.0,,55.0,92.0,74.0
2017,52.0,,36.0,43.0,32.0
2017,77.0,,44.0,60.0,48.0
2017,60.0,,41.0,49.0,41.0
2017,116.0,,65.0,67.0,73.0
2017,196.0,,84.0,141.0,126.0
2017,119.0,,52.0,81.0,78.0
2017,102.0,,43.0,82.0,55.0
2017,76.0,,41.0,47.0,42.0
2017,70.0,,49.0,43.0,43.0
2017,74.0,,32.0,57.0,47.0
2017,56.0,,34.0,51.0,34.0
2017,67.0,,38.0,65.0,40.0
2017,51.0,,31.0,44.0,
2017,62.0,,,,35.0
2017,85.0,,55.0,61.0,49.0
2017,142.0,,85.0,102.0,96.0
2017,36.0,,,,
2017,546.0,,303.0,434.0,327.0
2017,43.0,,,,
2017,356.0,,131.0,191.0,188.0
2017,78.0,,38.0,52.0,51.0
2017,2550.0,,1445.0,1990.0,1554.0
2017,1117.0,,570.0,826.0,692.0
2017,126.0,,102.0,139.0,76.0
2017,34.0,,,,
2017,652.0,,290.0,424.0,365.0
2017,45.0,,,,31.0
2017,328.0,,112.0,194.0,174.0
2017,95.0,,47.0,50.0,56.0
2017,103.0,,57.0,87.0,65.0
2017,72.0,,63.0,77.0,44.0
2017,169.0,,90.0,125.0,113.0
2017,101.0,,60.0,81.0,65.0
2017,38.0,,30.0,33.0,
2017,70.0,,60.0,71.0,41.0
2017,33.0,,,,
2017,1203.0,,635.0,876.0,742.0
2017,2461.0,,1592.0,2167.0,1485.0
2017,121.0,,49.0,76.0,66.0
2017,97.0,,60.0,81.0,64.0
2017,89.0,,,35.0,30.0
2017,224.0,,102.0,133.0,132.0
2017,109.0,,67.0,102.0,67.0
2017,64.0,,30.0,43.0,37.0
2017,65.0,,52.0,60.0,37.0
2017,152.0,,91.0,108.0,93.0
2017,85.0,,51.0,68.0,53.0
2017,57.0,,37.0,54.0,36.0
2017,58.0,,,57.0,36.0
2017,63.0,,31.0,44.0,38.0
2017,71.0,,46.0,67.0,48.0
2017,117.0,,68.0,76.0,71.0
2017,72.0,,37.0,48.0,37.0
2017,100.0,,39.0,73.0,57.0
2017,107.0,,57.0,89.0,65.0
2017,60.0,,37.0,33.0,32.0
2017,78.0,,50.0,59.0,39.0
2017,68.0,,41.0,45.0,43.0
2017,528.0,,251.0,376.0,324.0
2017,97.0,,69.0,65.0,64.0
2017,91.0,,51.0,68.0,50.0
2017,61.0,,,34.0,42.0
2017,33.0,,,,
2017,127.0,,102.0,105.0,85.0
2017,39.0,,,,
2017,199.0,,120.0,193.0,129.0
2017,80.0,,51.0,85.0,47.0
2017,40.0,,32.0,,
2017,60.0,,32.0,38.0,35.0
2017,92.0,,62.0,59.0,60.0
2017,130.0,,66.0,86.0,71.0
2017,86.0,,56.0,82.0,59.0
2017,65.0,,62.0,69.0,34.0
2017,80.0,,40.0,60.0,53.0
2017,67.0,,46.0,65.0,35.0
